tweet_id,tweet_content,timestamp
'878431977162113028,"#ServiceAlert: Following an earlier incident at 1 Av, L train service has resumed with delays",Sat Jun 24 01:57:58 +0000 2017
'878429516854644736,#ServiceAlert: 8 Av bound L trains are running with delays due to a sick passenger at 1 Av. Allow additional travel time.,Sat Jun 24 01:48:11 +0000 2017
'878428440462077952,"#ServiceAlert:Following an earlier incident at Jamaica-179 St, F train service has resumed with delays.",Sat Jun 24 01:43:55 +0000 2017
'878426877035204608,"s/b F and Metropolitan Av bound [M] trains are running express from 34 St to W 4 St, due to a sick passenger at 14 St.",Sat Jun 24 01:37:42 +0000 2017
'878424016725454848,#ServiceAlert: b/d F trains are running with delays due to a sick passenger at Jamaica-179 St. Allow additional travel time.,Sat Jun 24 01:26:20 +0000 2017
'878390028208046080,"#ServiceAlert: Following an earlier incident at 96 St, 2 and 3 train service has resumed with delays.",Fri Jun 23 23:11:17 +0000 2017
'878389686808580096,"#ServiceAlert: Following an earlier incident at Ditmas Av, F train service has resumed with delays.",Fri Jun 23 23:09:55 +0000 2017
'878386511955230722,"#ServiceAlert: Following an earlier incident at 111 St, 7 train service has resumed with delays.",Fri Jun 23 22:57:18 +0000 2017
'878386094433337344,"Following an earlier incident at Franklin Av, A train service has resumed with delays.",Fri Jun 23 22:55:39 +0000 2017
'878383374397825025,"n/b 2 and 3 trains are running local from 72 St to 96 St, due to a train with mechanical problems at 96 St.",Fri Jun 23 22:44:50 +0000 2017
'878382585453432833,"#ServiceAlert: Following an earlier incident at Spring St, C and E train service has resumed with delays.",Fri Jun 23 22:41:42 +0000 2017
'878380264048742401,"n/b A trains are running local from Broadway Junction to Hoyt St, due to a train with mechanical problems at Franklin Av.",Fri Jun 23 22:32:29 +0000 2017
'878379141938257921,"Main St bound 7 trains are running exp from 74 St to Willets Point, due to signal problems at 111 St.",Fri Jun 23 22:28:01 +0000 2017
'878373106271870976,"n/b C and E trains are running with delays, due to a train with mechanical problems at Spring St. Allow additional travel",Fri Jun 23 22:04:02 +0000 2017
'878372228034723840,"n/b, F trains service change and  delays, due to switch problems at Ditmas Av. Allow additional travel time.",Fri Jun 23 22:00:33 +0000 2017
'878369213857116161,"Following an earlier incident at 72 St, 2 and 3 train service has resumed with delays.",Fri Jun 23 21:48:34 +0000 2017
'878368144166797312,"s/b 2 and 3 trains are running local from 96 St to 42 St, due to a train with mechanical problems at 72 St.",Fri Jun 23 21:44:19 +0000 2017
'878368099971592192,#ServiceAlert: s/b 2 &amp; 3 local from 96 St to 42 St due to a train with mechanical problems at 72 St. Allow additional travel time.,Fri Jun 23 21:44:08 +0000 2017
'878366832473845760,"s/b 2 and 3 trains are running with delays, due to a train with mechanical problems at 72 St. Allow additional travel time",Fri Jun 23 21:39:06 +0000 2017
'878360984947105792,"n/b F trains service change and  delays, due to switch problems at Ditmas Av. Allow additional travel time.",Fri Jun 23 21:15:52 +0000 2017
'878358545464303616,"n/b F trains trains are running with delays, due to switch problems at Ditmas Av. Allow additional travel time.",Fri Jun 23 21:06:11 +0000 2017
'878353797898276866,"Following an earlier incident at 59 St, A and D train service has resumed with delays.",Fri Jun 23 20:47:19 +0000 2017
'878352219904528384,"n/b A and D trains are running withy delays, due to NYPD activity at 59 St. Allow additional travel time.",Fri Jun 23 20:41:02 +0000 2017
'878348863358214144,"Following an earlier incident at 149 St, 2 and 5 train service has resumed with delays.",Fri Jun 23 20:27:42 +0000 2017
'878346787588800513,"Following an earlier incident at Euclid Av, C train service has resumed with delay.",Fri Jun 23 20:19:27 +0000 2017
'878345274418229248,"n/b 2 and 5 are running with delays, due to switch problems at 149 St. Allow additional travel time.",Fri Jun 23 20:13:26 +0000 2017
'878343381352673282,"b/d C trains are running with delays, due to a sick passenger at Euclid Av. Allow additional travel time.",Fri Jun 23 20:05:55 +0000 2017
'878342848348700672,"s/b C trains are running with delays, due to a sick passenger at Euclid Av. Allow additional travel time.",Fri Jun 23 20:03:48 +0000 2017
'878338166553427969,"Following an earlier incident at Franklin Av, 4 and 5 train service has resumed with delays.",Fri Jun 23 19:45:12 +0000 2017
'878337192569036800,"s/b 4 and 5 trains service changes and delays, due to a train with mechanical problems at Franklin Av. Allow additional tr",Fri Jun 23 19:41:20 +0000 2017
'878333378784772096,"Following an earlier incident at Jay St, F train service has resumed with delays.",Fri Jun 23 19:26:10 +0000 2017
'878323286945300480,"n/b F trains service changes and delays, due to an unauthorized person on the tracks at Jay St.",Fri Jun 23 18:46:04 +0000 2017
'878320977465102336,"n/b F trains are running with delays, due to an unauthorized person on the tracks at Jay St. Allow additional travel time.",Fri Jun 23 18:36:54 +0000 2017
'878305318400212996,"Following an earlier incident at 86 St, 6 train service has resumed with delays.",Fri Jun 23 17:34:40 +0000 2017
'878283340058468352,"Due to track maintenance at 86 St, 6 trains are running with delays in b/d. Allow additional travel time.",Fri Jun 23 16:07:20 +0000 2017
'878268875351011331,"Due to track maintenance at 86 St, 6 trains are running with delays in both directions. Allow additional travel time.",Fri Jun 23 15:09:51 +0000 2017
'878267435752861698,"Following an earlier incident at 116 St, 2 and 3 train service has resumed with delays.",Fri Jun 23 15:04:08 +0000 2017
'878265819217645568,"Some n/b 2 trains are running on the 5 line from Nevins St to 149 St-Grand Concourse, due to NYPD activity at 116 St.",Fri Jun 23 14:57:43 +0000 2017
'878265113710653440,"n/b 2 and 3 trains are running with delays, due to NYPD activity at 116 St. Allow additional travel time.",Fri Jun 23 14:54:55 +0000 2017
'878234065651945473,"Due to an earlier incident at 86 St, 4, 5 and 6 train service has resumed with delays.",Fri Jun 23 12:51:32 +0000 2017
'878227364857221120,Countdown clocks on the southbound platform at 149 St-Grand Concourse are now displaying arrival times.,Fri Jun 23 12:24:55 +0000 2017
'878226735308824576,"Following an earlier incident at 86 St, 1, 2 and 3 train service has resumed with delays.",Fri Jun 23 12:22:25 +0000 2017
'878215537691676672,Countdown clocks on the s/b platform at 149 St-G.C. will not display arrival times due to system maintenance. We will keep you updated.,Fri Jun 23 11:37:55 +0000 2017
'878209826773319682,"#ServiceAlert: s/b 1, 2 and 3 trains are running with delays, due to signal problems at 86 St.  Allow additional travel time.",Fri Jun 23 11:15:13 +0000 2017
'878200120411656192,"#ServiceAlert: Following an earlier incident at 36 St (Bklyn), D, N and R train service has resumed with delays.",Fri Jun 23 10:36:39 +0000 2017
'878199188378484736,"#ServiceAlert: n/b D, N, R trains are delayed, due to a train with mechanical problems at 36 St (Bklyn). Allow additional travel time.",Fri Jun 23 10:32:57 +0000 2017
'878194299099381760,"#ServiceAlert: n/b D and N trains are delayed, due to a train with mechanical problems at 36 St (Bklyn). Allow additional travel time.",Fri Jun 23 10:13:31 +0000 2017
'878192589064765440,"#ServiceAlert: s/b, 1 trains are running with delays, due to signal problems at 86 St. Allow additional travel time.",Fri Jun 23 10:06:43 +0000 2017
'878191130969391105,"#ServiceAlert: s/b 1 trains are running with delays, Due to signal problems at 86 St. Allow additional travel time.",Fri Jun 23 10:00:56 +0000 2017
'878185235241877507,"#ServiceAlert: s/b 1 trains are running with delays, due to signal problems at 86 St. Allow additional travel time.",Fri Jun 23 09:37:30 +0000 2017
'878170763508961281,"#ServiceAlert: Following an earlier incident at Lexington Av-53 St, E train service has resumed with delays.",Fri Jun 23 08:40:00 +0000 2017
'878166012335726593,"#ServiceAlert: Following an earlier incident at 36 St(Bklyn), D train service has resumed with delays.",Fri Jun 23 08:21:07 +0000 2017
'878163663370280961,"#ServiceAlert: s/b D trains via N line 36 St(Bklyn) to Stillwell Av, track maintenance at 36 St(Bklyn).",Fri Jun 23 08:11:47 +0000 2017
'878163524295442436,"#ServiceAlert: n/b E trains are running with delays, Ongoing rail condition at Lexington Av-53 St.",Fri Jun 23 08:11:14 +0000 2017
'878161767578324993,"#ServiceAlert: Following an earlier incident at Canal St, N and Q train service has resumed with delays.",Fri Jun 23 08:04:15 +0000 2017
'878147302329679872,"#ServiceAlert: s/b D trains via N line 36 St(Bklyn) to Stillwell Av, due to track maintenance at 36 St(Bklyn).",Fri Jun 23 07:06:46 +0000 2017
'878142789191520256,"#ServiceAlert: Following an earlier incident at 34 St-Herald Square, F train service has resumed with delays.",Fri Jun 23 06:48:50 +0000 2017
'878139044089053184,"#ServiceAlert: n/b F via E line from West 4 St to 36 St(Queens), due to track maintenance at 34 St. Allow additional travel time.",Fri Jun 23 06:33:57 +0000 2017
'878131337550483457,"#Servicealert: s/b N &amp; Q trains are running with delays, rail condition at Canal St. Allow additional travel time.",Fri Jun 23 06:03:20 +0000 2017
'878131194180907009,"#ServiceAlert: n/b E trains are running with delays, ongoing rail condition at Lexington Av-53 St.",Fri Jun 23 06:02:46 +0000 2017
'878102106942705664,"#ServiceAlert: Following an earler incident at 96 St, 1, 2 and 3 train service has resumed with delays.",Fri Jun 23 04:07:11 +0000 2017
'878101724661137408,"s/b N &amp; Q trains are running with delays, Due to a rail condition at Canal St. Allow additional travel time.",Fri Jun 23 04:05:40 +0000 2017
'878101497023782913,"#ServiceAlert: n/b E trains are running with delays, due to an ongoing rail condition at Lexington Av-53 St.",Fri Jun 23 04:04:45 +0000 2017
'878093387877957634,"Update Rail Condition N and Q: Maintainers are onscene working to correct problem, delays are ongoing. We will keep you posted.",Fri Jun 23 03:32:32 +0000 2017
'878093299348910081,"Update on Rail Condition: Maintainers are onscene working to correct problem, delays are ongoing. We will keep you posted.",Fri Jun 23 03:32:11 +0000 2017
'878089935051468801,"b/d 1, 2 &amp; 3 trains have service changes and delays, due to a work train with mechanical problems at 96 St. See https://t.co/vhZQ2kZ2vb",Fri Jun 23 03:18:49 +0000 2017
'878087279671226370,"b/d 1, 2 and 3 trains have service changes and delays, due to a work train with mechanical problems at 96 St. See https://t.co/vhZQ2kZ2vb",Fri Jun 23 03:08:16 +0000 2017
'878084031933558784,"Update on Rail Condition: Maintainers are onscene working to correct problem, delays are ongoing. We will keep you posted.",Fri Jun 23 02:55:21 +0000 2017
'878074868452827136,"#ServiceAlert: Following an earlier incident at Jackson Av, 2 and 5 train service has resumed with delays.",Fri Jun 23 02:18:57 +0000 2017
'878069868238700547,"n/b E trains are running with delays, due to a rail condition at Lexington Av-53 St.",Fri Jun 23 01:59:04 +0000 2017
'878050116745252864,"n/b 2 and 5 delays, some n/b 2 and 5 trains via exp from 3 Av-149 St to E 180 St, due to signal problems at Jackson Av.",Fri Jun 23 00:40:35 +0000 2017
'878040456319221760,"71 Av-bound M trains are running on the F line from Rockefeller Ctr to 36 St (QNS), due to a rail condition at Lexington-53 St.",Fri Jun 23 00:02:12 +0000 2017
